Date Period,Organisation code,Organisation name,Region Code,Region Name,Metric
Apr-25,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,NORTH WEST,112
Apr-25,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,7
Apr-25,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,SOUTH WEST,82
Apr-25,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,MIDLANDS,88
Apr-25,R1C,SOLENT NHS TRUST,Y59,SOUTH EAST,11
Apr-25,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,MIDLANDS,67
Apr-25,R1F,ISLE OF WIGHT NHS TRUST,Y59,SOUTH EAST,68
Apr-25,R1H,BARTS HEALTH NHS TRUST,Y56,LONDON,13
Apr-25,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,LONDON,51
Apr-25,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,32
Apr-25,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,SOUTH EAST,89
Apr-25,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,SOUTH WEST,24
Apr-25,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,SOUTH WEST,32
Apr-25,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,42
Apr-25,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,33
Apr-25,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,LONDON,9
Apr-25,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,LONDON,104
Apr-25,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,LONDON,118
Apr-25,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,LONDON,99
Apr-25,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,LONDON,144
Apr-25,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Y56,LONDON,9
Apr-25,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,SOUTH WEST,18
Apr-25,RBK,WALSALL HEALTHCARE NHS TRUST,Y60,MIDLANDS,15
Apr-25,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,3
Apr-25,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,Y62,NORTH WEST,69
Apr-25,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,92
Apr-25,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,NORTH WEST,102
Apr-25,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,5
Apr-25,RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,NORTH WEST,38
Apr-25,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,34
Apr-25,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,49
Apr-25,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,43
Apr-25,RCF,AIREDALE NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,14
Apr-25,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,32
Apr-25,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,EAST OF ENGLAND,110
Apr-25,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,SOUTH WEST,102
Apr-25,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,82
Apr-25,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,48
Apr-25,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Y59,SOUTH EAST,44
Apr-25,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,SOUTH EAST,103
Apr-25,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,SOUTH WEST,30
Apr-25,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,SOUTH WEST,41
Apr-25,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,10
Apr-25,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,NORTH WEST,9
