Date Period,Organisation code,Organisation name,Region Code,Region Name,Metric
Aug-25,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,NORTH WEST,101
Aug-25,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,23
Aug-25,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,SOUTH WEST,71
Aug-25,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,MIDLANDS,92
Aug-25,R1C,SOLENT NHS TRUST,Y59,SOUTH EAST,11
Aug-25,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,MIDLANDS,59
Aug-25,R1F,ISLE OF WIGHT NHS TRUST,Y59,SOUTH EAST,66
Aug-25,R1H,BARTS HEALTH NHS TRUST,Y56,LONDON,16
Aug-25,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,LONDON,66
Aug-25,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,34
Aug-25,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,SOUTH EAST,61
Aug-25,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,SOUTH WEST,28
Aug-25,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,SOUTH WEST,34
Aug-25,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,44
Aug-25,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,19
Aug-25,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,LONDON,9
Aug-25,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,LONDON,115
Aug-25,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,LONDON,103
Aug-25,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,LONDON,98
Aug-25,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,LONDON,131
Aug-25,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Y56,LONDON,12
Aug-25,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,SOUTH WEST,24
Aug-25,RBK,WALSALL HEALTHCARE NHS TRUST,Y60,MIDLANDS,24
Aug-25,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,5
Aug-25,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,Y62,NORTH WEST,57
Aug-25,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,124
Aug-25,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,NORTH WEST,122
Aug-25,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,22
Aug-25,RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,NORTH WEST,7
Aug-25,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,56
Aug-25,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,48
Aug-25,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,33
Aug-25,RCF,AIREDALE NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,37
Aug-25,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,57
Aug-25,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,EAST OF ENGLAND,117
Aug-25,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,SOUTH WEST,119
Aug-25,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,93
Aug-25,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,50
Aug-25,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Y59,SOUTH EAST,23
Aug-25,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,SOUTH EAST,123
Aug-25,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,SOUTH WEST,39
Aug-25,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,SOUTH WEST,52
Aug-25,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,34
Aug-25,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,NORTH WEST,15
