Date Period,Organisation code,Organisation name,Region Code,Region Name,Metric
Jun-25,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,NORTH WEST,114
Jun-25,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,6
Jun-25,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,SOUTH WEST,77
Jun-25,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,MIDLANDS,83
Jun-25,R1C,SOLENT NHS TRUST,Y59,SOUTH EAST,0
Jun-25,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,MIDLANDS,64
Jun-25,R1F,ISLE OF WIGHT NHS TRUST,Y59,SOUTH EAST,63
Jun-25,R1H,BARTS HEALTH NHS TRUST,Y56,LONDON,9
Jun-25,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,LONDON,48
Jun-25,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,25
Jun-25,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,SOUTH EAST,82
Jun-25,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,SOUTH WEST,23
Jun-25,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,SOUTH WEST,32
Jun-25,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,36
Jun-25,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,27
Jun-25,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,LONDON,0
Jun-25,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,LONDON,103
Jun-25,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,LONDON,111
Jun-25,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,LONDON,99
Jun-25,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,LONDON,146
Jun-25,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Y56,LONDON,9
Jun-25,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,SOUTH WEST,18
Jun-25,RBK,WALSALL HEALTHCARE NHS TRUST,Y60,MIDLANDS,0
Jun-25,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,1
Jun-25,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,Y62,NORTH WEST,69
Jun-25,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,88
Jun-25,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,NORTH WEST,99
Jun-25,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,0
Jun-25,RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,NORTH WEST,31
Jun-25,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,30
Jun-25,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,47
Jun-25,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,42
Jun-25,RCF,AIREDALE NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,2
Jun-25,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,30
Jun-25,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,EAST OF ENGLAND,101
Jun-25,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,SOUTH WEST,98
Jun-25,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,80
Jun-25,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,46
Jun-25,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Y59,SOUTH EAST,38
Jun-25,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,SOUTH EAST,102
Jun-25,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,SOUTH WEST,27
Jun-25,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,SOUTH WEST,36
Jun-25,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,7
Jun-25,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,NORTH WEST,2
