Date Period,Organisation code,Organisation name,Region Code,Region Name,Metric
Oct-25,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,NORTH WEST,112
Oct-25,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,10
Oct-25,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,SOUTH WEST,77
Oct-25,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,MIDLANDS,83
Oct-25,R1C,SOLENT NHS TRUST,Y59,SOUTH EAST,6
Oct-25,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,MIDLANDS,64
Oct-25,R1F,ISLE OF WIGHT NHS TRUST,Y59,SOUTH EAST,63
Oct-25,R1H,BARTS HEALTH NHS TRUST,Y56,LONDON,5
Oct-25,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,LONDON,48
Oct-25,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,25
Oct-25,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,SOUTH EAST,82
Oct-25,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,SOUTH WEST,23
Oct-25,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,SOUTH WEST,32
Oct-25,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,36
Oct-25,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,27
Oct-25,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,LONDON,0
Oct-25,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,LONDON,103
Oct-25,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,LONDON,111
Oct-25,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,LONDON,99
Oct-25,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,LONDON,144
Oct-25,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Y56,LONDON,9
Oct-25,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,SOUTH WEST,18
Oct-25,RBK,WALSALL HEALTHCARE NHS TRUST,Y60,MIDLANDS,3
Oct-25,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,0
Oct-25,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,Y62,NORTH WEST,66
Oct-25,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,88
Oct-25,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,NORTH WEST,99
Oct-25,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,0
Oct-25,RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,NORTH WEST,33
Oct-25,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,24
Oct-25,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,47
Oct-25,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,40
Oct-25,RCF,AIREDALE NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,8
Oct-25,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,30
Oct-25,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,EAST OF ENGLAND,105
Oct-25,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,SOUTH WEST,102
Oct-25,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,77
Oct-25,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,46
Oct-25,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Y59,SOUTH EAST,38
Oct-25,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,SOUTH EAST,102
Oct-25,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,SOUTH WEST,27
Oct-25,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,SOUTH WEST,36
Oct-25,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,6
Oct-25,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,NORTH WEST,3
