Date Period,Organisation code,Organisation name,Region Code,Region Name,Metric
Sep-25,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,NORTH WEST,99
Sep-25,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,14
Sep-25,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,SOUTH WEST,70
Sep-25,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,MIDLANDS,89
Sep-25,R1C,SOLENT NHS TRUST,Y59,SOUTH EAST,13
Sep-25,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,MIDLANDS,58
Sep-25,R1F,ISLE OF WIGHT NHS TRUST,Y59,SOUTH EAST,63
Sep-25,R1H,BARTS HEALTH NHS TRUST,Y56,LONDON,4
Sep-25,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,LONDON,67
Sep-25,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,26
Sep-25,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,SOUTH EAST,79
Sep-25,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,SOUTH WEST,22
Sep-25,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,SOUTH WEST,18
Sep-25,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,47
Sep-25,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,21
Sep-25,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,LONDON,0
Sep-25,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,LONDON,121
Sep-25,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,LONDON,110
Sep-25,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,LONDON,103
Sep-25,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,LONDON,136
Sep-25,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Y56,LONDON,0
Sep-25,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,SOUTH WEST,9
Sep-25,RBK,WALSALL HEALTHCARE NHS TRUST,Y60,MIDLANDS,28
Sep-25,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,5
Sep-25,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,Y62,NORTH WEST,53
Sep-25,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,NORTH WEST,108
Sep-25,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,NORTH WEST,114
Sep-25,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,0
Sep-25,RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,NORTH WEST,10
Sep-25,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,52
Sep-25,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,48
Sep-25,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,36
Sep-25,RCF,AIREDALE NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,19
Sep-25,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,NORTH EAST AND YORKSHIRE,36
Sep-25,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,EAST OF ENGLAND,110
Sep-25,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,SOUTH WEST,121
Sep-25,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,77
Sep-25,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,EAST OF ENGLAND,30
Sep-25,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Y59,SOUTH EAST,25
Sep-25,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,SOUTH EAST,123
Sep-25,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,SOUTH WEST,43
Sep-25,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,SOUTH WEST,50
Sep-25,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,NORTH WEST,30
Sep-25,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,NORTH WEST,0
